id,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,chrt,sex,stage,nest.site.origin,cma.bin,translocated,captive,wild,SFdist,SFcat,SF_2km,SF_3km,Fcoeff,subpop,BFDV,BFDVtest,Dam_age
10715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,Female,juvenile,SLE,0,no,no,yes,1.349916214,1,1,1,0.25,GG,1,1,8
10720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,UNK,juvenile,SLE,0,no,no,yes,1.349916214,1,1,1,0.25,GG,0,0,8
10750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,UNK,juvenile,SQU,0,no,no,yes,3.019230646,2,0,0,0,BO,0,0,6
10755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,PB,0,0,0,0,2013,Female,juvenile,SQU,0,no,no,yes,3.019230646,2,0,0,0,BO,1,1,6
10775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,UNK,juvenile,STX,0,no,no,yes,1.931616027,1,1,1,0.15625,BO,1,1,9
10780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,UNK,juvenile,STX,0,no,no,yes,1.931616027,1,1,1,0.15625,BO,1,1,9
10785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,Female,juvenile,STX,0,no,no,yes,1.931616027,1,1,1,0.15625,BO,1,1,9
10790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,Female,juvenile,SUN,0,no,no,yes,0.397173053,1,1,1,0,GG,0,0,5
10795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,UNK,juvenile,SUN,0,no,no,yes,0.397173053,1,1,1,0,GG,0,0,5
10805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,UNK,juvenile,SUZ,1,no,no,yes,0.045266475,1,1,1,0,GG,1,1,6
10815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,PB,B,0,0,0,0,PO,2013,Male,juvenile,SWI,0,no,no,yes,2.949732005,2,0,1,0,BO,1,1,4
10820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,B,B,B,0,0,0,0,0,2013,Female,juvenile,SWI,0,no,no,yes,2.949732005,2,0,1,0,BO,0,0,4
10825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,PB,0,B,0,0,B,B,B,B,2013,Male,juvenile,SWI,0,no,no,yes,2.949732005,2,0,1,0,BO,0,0,4
10835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,PB,0,0,0,0,0,0,2013,Male,juvenile,TAU,0,no,no,yes,0.412123285,1,1,1,0.125,GG,0,0,9
10840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,PB,B,B,B,B,0,0,0,2013,Female,juvenile,TAU,0,no,no,yes,0.412123285,1,1,1,0.125,GG,1,0,9
1085,0,0,0,PB,0,PB,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,Female,juvenile,GDEWS,NA,no,no,no,NA,#N/A,NA,NA,0.25,NA,NA,NA,NA
10850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,B,B,0,0,2013,Male,juvenile,GLO,0,no,no,yes,3.499181983,2,0,0,0.03125,BO,1,1,7
10855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,PB,0,0,0,0,0,0,2013,Male,juvenile,GLO,0,no,no,yes,3.499181983,2,0,0,0.03125,BO,0,0,7
10860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,B,B,0,B,B,0,B,2013,Female,juvenile,GLO,0,no,no,yes,3.499181983,2,0,0,0.03125,BO,1,1,7
10865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,UNK,juvenile,TRA,0,no,no,yes,0.243337301,1,1,1,0.03125,GG,0,0,9
10870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,UNK,juvenile,TRA,0,no,no,yes,0.243337301,1,1,1,0.03125,GG,1,1,9
10875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,UNK,juvenile,TRA,0,no,no,yes,0.243337301,1,1,1,0.03125,GG,0,0,9
10880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,Male,juvenile,TRA,0,no,no,yes,0.243337301,1,1,1,0.03125,GG,0,0,9
10885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,PB,0,0,0,0,0,0,2013,UNK,juvenile,TRO,1,no,no,yes,0.042474,1,1,1,0,GG,0,0,13
10890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,Female,juvenile,TRO,1,no,no,yes,0.042474,1,1,1,0,GG,0,0,13
10895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,Female,juvenile,TRO,1,no,no,yes,0.042474,1,1,1,0,GG,1,1,13
1090,0,0,0,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,UNK,juvenile,NOW,0,no,no,yes,2.298311335,2,0,1,NA,BO,NA,NA,NA
10905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,UNK,juvenile,TUT,0,no,no,yes,0.159228595,1,1,1,0.0625,GG,1,1,12
